2025-06-07 01:58:15 [   DEBUG] Bulb creation with only an ip failed as expected (tes2025-062025-06-07 01:58:15 [   DEBUG] Bulb creation for bulb array failed as expected (test_db_validations.py:43)
2025-06-07 01:58:15 [   DEBUG] Bulb creation for ip array failed as expected (test_db_validations.py:53)
2025-2025-06-07 01:58:45 [   ERROR] Audio Sync did not start (variables.py:55)
2025-06-07 01:58:45 [   DEBUG] Activate Audio Sync response status code is 200 (test_requests.py:266)
2025-06-07 01:58:45 [   DEBUG] Activate Audio Sync response is correct (test_requests.py:272)
2025-06-07 01:58:45 [    INFO] Starting Audio Sync (variables.py:50)
2025-06-07 01:58:45 [ WARNING] Not Found: /activateSync/ (log.py:246)
2025-06-07 01:58:45 [   DEBUG] Activate Audio Sync invalid GET response status code is 404 (test_requests.py:276)
2025-06-07 01:58:45 [   DEBUG] Correct template used for 404 page (test_requests.py:278)
2025-06-07 01:58:45 [    INFO] Starting Audio Sync (variables.py:50)
2025-06-07 01:58:45 [ WARNING] Not Found: /activateSync/ (log.py:246)
2025-06-07 01:58:45 [   DEBUG] Activate Audio Sync invalid PUT response status code is 404 (test_requests.py:282)
2025-06-07 01:58:45 [   DEBUG] Correct template used for 404 page (test_requests.py:284)
2025-06-07 01:58:45 [    INFO] Starting Audio Sync (variables.py:50)
2025-06-07 01:58:45 [ WARNING] Not Found: /activateSync/ (log.py:246)
2025-06-07 01:58:45 [   DEBUG] Activate Audio Sync invalid DELETE response status code is 404 (test_requests.py:288)
2025-06-07 01:58:45 [   DEBUG] Correct template used for 404 page (test_requests.py:290)
2025-06-07 01:58:45 [    INFO] Starting Audio Sync (variables.py:50)
2025-06-07 01:58:45 [ WARNING] Not Found: /activateSync/ (log.py:246)
2025-06-07 01:58:45 [   DEBUG] Activate Audio Sync invalid PATCH response status code is 404 (test_requests.py:294)
2025-06-07 01:58:45 [   DEBUG] Correct template used for 404 page (test_requests.py:296)
2025-06-07 01:58:45 [    INFO] discover (variables.py:50)
2025-06-07 01:58:47 [    INFO] Bulb discovery failed. Please ensure bulbs are connected to the same network as your computer. (variables.py:50)
2025-06-07 01:58:47 [   DEBUG] Discover page loaded successfully (test_requests.py:31)
